id,value,feed_id,created_at,lat,lon,ele
0EPJS15DQKSDP3VR96JP062FAA,1000.94,1589961,2021-03-28 09:40:47 UTC,,,
0EPJS1CHPBHV3X6F41F89476KH,1000.96,1589961,2021-03-28 09:41:10 UTC,,,
0EPJS1KNQDG8C2D1NMDNSSRVM3,1000.96,1589961,2021-03-28 09:41:34 UTC,,,
0EPJS1V1QAW95Z0119QX3A18H6,1000.93,1589961,2021-03-28 09:41:58 UTC,,,
0EPJS225TBQXPAA7Y3T6JM93E9,1000.96,1589961,2021-03-28 09:42:21 UTC,,,
0EPJS299W8DA0QC4H4FV4YR5MT,1000.9,1589961,2021-03-28 09:42:44 UTC,,,
0EPJS2GDQWRSZGZPN4XKAMBJ9E,1000.91,1589961,2021-03-28 09:43:08 UTC,,,
0EPJS2QGT56M37GDG444WMQAND,1000.93,1589961,2021-03-28 09:43:31 UTC,,,
0EPJS2YMX9YKFYJ9XG2HR0BVWD,1000.92,1589961,2021-03-28 09:43:54 UTC,,,
0EPJS35SQ98CEXBNQKX5PNPSET,1000.92,1589961,2021-03-28 09:44:18 UTC,,,
0EPJS3CYQD5Q9K9QCGE1YZ4JSC,1000.91,1589961,2021-03-28 09:44:41 UTC,,,
0EPJS3M2RKW70M244J7NK2DW9R,1000.91,1589961,2021-03-28 09:45:05 UTC,,,
0EPJS3V7S3E2XDKZJ2SVA862QJ,1000.91,1589961,2021-03-28 09:45:28 UTC,,,
0EPJS42B23EWS3HWN56WBRA2BA,1000.93,1589961,2021-03-28 09:45:51 UTC,,,
0EPJS49ET8YYMQRKQY90XRAFKJ,1000.9,1589961,2021-03-28 09:46:15 UTC,,,
0EPJS4GKV2AD49K2BT12R3X6HV,1000.89,1589961,2021-03-28 09:46:38 UTC,,,
0EPJS4QPTCWH3NPCR1WXCVGZZR,1000.89,1589961,2021-03-28 09:47:01 UTC,,,
0EPJS4YTRMRAFADZKKV8DA77AA,1000.93,1589961,2021-03-28 09:47:25 UTC,,,
0EPJS55XBFVNVBSKWF5XYQ6TY4,1000.9,1589961,2021-03-28 09:47:48 UTC,,,
0EPJS5D1TKY6J79HBBBAWTQB2A,1000.92,1589961,2021-03-28 09:48:11 UTC,,,
0EPJS5M4VTV45J31QJ6413ZZKY,1000.91,1589961,2021-03-28 09:48:34 UTC,,,
0EPJS5VARPV5BC8CQXJZRBV0RQ,1000.88,1589961,2021-03-28 09:48:58 UTC,,,
0EPJS62E2AGAWCJBQ9PJ3T3AQZ,1000.93,1589961,2021-03-28 09:49:21 UTC,,,
