id,value,feed_id,created_at,lat,lon,ele
0EPJS21VQPM3CCJBMY27XX1QGB,26.9133,1589960,2021-03-28 09:42:20 UTC,,,
0EPJS28ZP98R50VNAXRW4SB054,26.9389,1589960,2021-03-28 09:42:43 UTC,,,
0EPJS2G3RS4Z3B4K03EXBY3812,26.9695,1589960,2021-03-28 09:43:07 UTC,,,
0EPJS2Q7RH93A67E06E4P90E4X,26.9592,1589960,2021-03-28 09:43:30 UTC,,,
0EPJS2YAV1WSA8YMSWE1G83NRC,26.9695,1589960,2021-03-28 09:43:53 UTC,,,
0EPJS35FQN910XZT9WAG9RRDM2,26.949,1589960,2021-03-28 09:44:17 UTC,,,
0EPJS3CMRHP22SAN0P20Q4Q2Y8,27.0053,1589960,2021-03-28 09:44:40 UTC,,,
0EPJS3KRV9C4ED0KRNRJPKT1ZK,26.949,1589960,2021-03-28 09:45:04 UTC,,,
0EPJS3TXQHJ5T1EC4YSYWNMDT6,27.0205,1589960,2021-03-28 09:45:27 UTC,,,
0EPJS421R427GB414E7JK08HC2,26.9746,1589960,2021-03-28 09:45:50 UTC,,,
0EPJS495SV3TT6QEFVQJBJVZWV,26.9389,1589960,2021-03-28 09:46:14 UTC,,,
0EPJS4G8SRX2RX5SDKEX49XABT,26.9285,1589960,2021-03-28 09:46:37 UTC,,,
0EPJS4QDRCWJ81VB2JPQW5NEYV,27.0256,1589960,2021-03-28 09:47:00 UTC,,,
0EPJS4YGT446DX15R248QNZWSM,26.9949,1589960,2021-03-28 09:47:24 UTC,,,
0EPJS55M2FBMDDWMJ8PAAJJ6QG,26.9389,1589960,2021-03-28 09:47:47 UTC,,,
0EPJS5CQSSSMRK684G5DW0XERD,26.9541,1589960,2021-03-28 09:48:10 UTC,,,
0EPJS5KTSV6RXQV425XV2FACTY,26.9898,1589960,2021-03-28 09:48:33 UTC,,,
0EPJS5V0R5B8Q8VA101NAHQR0B,26.9898,1589960,2021-03-28 09:48:57 UTC,,,
0EPJS624V3RQW7CJD46DQ0MFGK,26.8111,1589960,2021-03-28 09:49:20 UTC,,,
0EPJS697QQAN606VRJ6EANTTS7,26.9898,1589960,2021-03-28 09:49:44 UTC,,,
0EPJS6GB2V0G4FJVFD29M6FAWD,26.9338,1589960,2021-03-28 09:50:07 UTC,,,
0EPJS6QFT6W5W56H523H5Q2BNA,26.9949,1589960,2021-03-28 09:50:30 UTC,,,
0EPJS6YKRSEP2EM4HD079JWVD0,27.0154,1589960,2021-03-28 09:50:54 UTC,,,
0EPJS75QRKSE071A2Y1GTCS3XW,26.9949,1589960,2021-03-28 09:51:17 UTC,,,
0EPJS7CVRRV91Z9MY3KTGQB4RX,27.0205,1589960,2021-03-28 09:51:40 UTC,,,
0EPJS7KZMECDZEZF06Q7XNCYPH,27.0103,1589960,2021-03-28 09:52:04 UTC,,,
0EPJS7V3VPT462MFECRWDQWRGP,26.9184,1589960,2021-03-28 09:52:27 UTC,,,
0EPJS827VAG1VNXTRR2SSBYH1P,26.949,1589960,2021-03-28 09:52:50 UTC,,,
0EPJS89BTNWRB2V60FFPAT1TZA,26.8775,1589960,2021-03-28 09:53:14 UTC,,,
0EPJS8GFRVR0913JGBK9122QG7,26.9133,1589960,2021-03-28 09:53:37 UTC,,,
0EPJS8QKZRKR0KQDKZ4SDMJF6M,26.9439,1589960,2021-03-28 09:54:00 UTC,,,
0EPJS8YPSZE2PESN7YVRPRGPWS,26.9643,1589960,2021-03-28 09:54:24 UTC,,,
0EPJS95T60YMFQQS0SZQSV7J1K,27.0103,1589960,2021-03-28 09:54:47 UTC,,,
0EPJS9CXXMKQTQ5C8MTSK8FN8H,27.0512,1589960,2021-03-28 09:55:10 UTC,,,
0EPJS9M11AE3TBHHC682FRZKCW,26.9898,1589960,2021-03-28 09:55:34 UTC,,,
0EPJS9V40APGX8CXGYZAV94F4A,27.0359,1589960,2021-03-28 09:55:57 UTC,,,
0EPJSA270SSA3KX2CMWE9XMRPP,27.0615,1589960,2021-03-28 09:56:20 UTC,,,
0EPJSA99V6QXN156A39CZ4HCPN,26.9797,1589960,2021-03-28 09:56:43 UTC,,,
0EPJSAGDYN31DHGDC91DY4HF75,26.9898,1589960,2021-03-28 09:57:07 UTC,,,
0EPJSAQHTXDRBZ4DBK83M4GX4Y,26.9184,1589960,2021-03-28 09:57:30 UTC,,,
0EPJSAYMX35WQXXMEATMVVKWFZ,26.8928,1589960,2021-03-28 09:57:53 UTC,,,
0EPJSB5RWAT8KS2VWD9YXRSE8R,26.9133,1589960,2021-03-28 09:58:17 UTC,,,
0EPJSBCWVVPN50MT9DPV80SRZ1,26.8979,1589960,2021-03-28 09:58:40 UTC,,,
0EPJSBM0ZBMZ6W351F7YEAJ9H9,26.7957,1589960,2021-03-28 09:59:03 UTC,,,
0EPJSBV5W2K7BR98WHK6QKQPN2,26.8264,1589960,2021-03-28 09:59:27 UTC,,,
0EPJSC29TEGYVHVAPYSDDFRF59,26.9643,1589960,2021-03-28 09:59:50 UTC,,,
0EPJSC9EV5F199JA07NNPSMHBA,27.0512,1589960,2021-03-28 10:00:13 UTC,,,
0EPJSCGK2S03AKG1H04S54Y3ZN,27.0002,1589960,2021-03-28 10:00:37 UTC,,,
0EPJSCQPXR97EDXH71TP69KFPN,26.9695,1589960,2021-03-28 10:01:00 UTC,,,
0EPJSCYWW1A4Q0QXN0QR2HAECV,26.9285,1589960,2021-03-28 10:01:24 UTC,,,
0EPJSD5ZWJBWBAATKKQ8HD5Q11,26.9285,1589960,2021-03-28 10:01:47 UTC,,,
0EPJSDD4Z25HNK1935HK6R0CZ3,26.9184,1589960,2021-03-28 10:02:10 UTC,,,
0EPJSDM8VS36VCGX2CNKCZ9GY9,26.9695,1589960,2021-03-28 10:02:34 UTC,,,
0EPJSDVC0S00KGWDRVTB1PRQ7D,26.8979,1589960,2021-03-28 10:02:57 UTC,,,
0EPJSE2FVDEVVYCR6B0MKMJTFV,26.9082,1589960,2021-03-28 10:03:20 UTC,,,
0EPJSE9MWZPFJ7K6QKPA710RCH,26.949,1589960,2021-03-28 10:03:44 UTC,,,
0EPJSEGS1D4Z17MKKE1DA654V0,26.8979,1589960,2021-03-28 10:04:07 UTC,,,
0EPJSEQXYZT609EGS5W2T0DTBF,26.8672,1589960,2021-03-28 10:04:31 UTC,,,
0EPJSEZ1WZ4DEN67JPGJDFZSPB,26.9389,1589960,2021-03-28 10:04:54 UTC,,,
0EPJSF65YVPR9KK9C5WQJGM7PE,26.9695,1589960,2021-03-28 10:05:17 UTC,,,
0EPJSFDA1W2DF66VFCE21VS1X9,26.9389,1589960,2021-03-28 10:05:41 UTC,,,
0EPJSFMD2SD6H0Q5TPZP9DCAZ1,26.9082,1589960,2021-03-28 10:06:04 UTC,,,
0EPJSFVGX8HQVN7VV94AEE1DXV,26.9184,1589960,2021-03-28 10:06:27 UTC,,,
0EPJSG2KXHBZT3C5Q3FTB32HHA,26.9082,1589960,2021-03-28 10:06:50 UTC,,,
0EPJSG9QX7M6B9A3ZJ5ZVRXMW5,26.9338,1589960,2021-03-28 10:07:14 UTC,,,
0EPJSGGWYESW73MC1Z1KYW1XM7,26.9133,1589960,2021-03-28 10:07:37 UTC,,,
0EPJSGR0ZJTSN1G83WEFS8NPC1,26.9898,1589960,2021-03-28 10:08:01 UTC,,,
0EPJSGZ5PBF5MPKQD8AEKYAHDQ,27.0103,1589960,2021-03-28 10:08:24 UTC,,,
